GEOID,year,median_rent,population,poverty_total,poverty_below,race_total,race_white,race_black,race_native,race_asian,race_pi,race_other,race_mixed,education_no_diploma,education_high_school,education_associates,education_bachelors,education_masters,education_professional,education_doctorate
20000056002,2013,597200.0,809.0,228.0,64.0,809.0,127.0,56.0,0.0,5.0,0.0,450.0,171.0,240.0,270.0,17.0,27.0,0.0,11.0,0.0
20000056003,2013,,789.0,239.0,46.0,789.0,144.0,317.0,0.0,37.0,0.0,195.0,96.0,237.0,211.0,28.0,22.0,0.0,0.0,0.0
20000059021,2013,225000.0,1075.0,311.0,62.0,1075.0,184.0,361.0,0.0,0.0,0.0,395.0,135.0,153.0,281.0,23.0,77.0,36.0,30.0,0.0
20000059022,2013,183300.0,1774.0,765.0,280.0,1774.0,396.0,535.0,98.0,0.0,0.0,738.0,7.0,407.0,473.0,35.0,87.0,36.0,9.0,0.0
20000060001,2013,396400.0,1255.0,329.0,97.0,1255.0,145.0,260.0,0.0,11.0,0.0,839.0,0.0,222.0,400.0,35.0,94.0,14.0,0.0,0.0
20000061001,2013,23100.0,606.0,330.0,27.0,606.0,42.0,481.0,0.0,0.0,0.0,83.0,0.0,120.0,214.0,6.0,60.0,40.0,20.0,14.0
20000061002,2013,40600.0,3183.0,1735.0,318.0,3183.0,140.0,2611.0,0.0,0.0,0.0,245.0,187.0,312.0,1152.0,168.0,409.0,230.0,47.0,19.0
20000061003,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000062001,2013,,1488.0,565.0,128.0,1488.0,166.0,523.0,0.0,16.0,0.0,617.0,166.0,311.0,299.0,106.0,82.0,68.0,0.0,0.0
20000062002,2013,,2436.0,667.0,400.0,2436.0,78.0,1389.0,14.0,0.0,0.0,884.0,71.0,443.0,479.0,22.0,14.0,43.0,0.0,0.0
20000062003,2013,,1469.0,505.0,253.0,1469.0,191.0,539.0,0.0,0.0,0.0,548.0,191.0,535.0,244.0,97.0,20.0,0.0,0.0,0.0
20000062004,2013,,1376.0,347.0,130.0,1376.0,135.0,326.0,16.0,0.0,0.0,830.0,69.0,406.0,398.0,18.0,35.0,0.0,0.0,18.0
20000062005,2013,,896.0,260.0,67.0,896.0,72.0,404.0,0.0,0.0,0.0,0.0,420.0,111.0,260.0,17.0,66.0,43.0,0.0,0.0
20000063001,2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000063002,2013,378000.0,329.0,150.0,25.0,329.0,145.0,111.0,11.0,0.0,0.0,62.0,0.0,70.0,130.0,0.0,25.0,8.0,4.0,0.0
20000063003,2013,,721.0,279.0,72.0,721.0,201.0,267.0,0.0,22.0,0.0,231.0,0.0,128.0,236.0,36.0,54.0,22.0,0.0,0.0
20000063004,2013,121800.0,1013.0,399.0,126.0,1013.0,134.0,244.0,0.0,366.0,0.0,261.0,8.0,291.0,264.0,53.0,131.0,33.0,0.0,8.0
20000063005,2013,,1060.0,313.0,127.0,1060.0,309.0,194.0,39.0,0.0,0.0,493.0,25.0,332.0,209.0,0.0,45.0,0.0,12.0,0.0
20000063006,2013,252400.0,1896.0,751.0,238.0,1896.0,596.0,576.0,35.0,38.0,0.0,597.0,54.0,469.0,602.0,73.0,120.0,29.0,36.0,9.0
20000064001,2013,495500.0,1812.0,563.0,122.0,1812.0,125.0,623.0,27.0,6.0,0.0,956.0,75.0,149.0,452.0,175.0,214.0,16.0,0.0,0.0
20000064002,2013,,637.0,279.0,91.0,637.0,192.0,157.0,0.0,36.0,0.0,199.0,53.0,220.0,196.0,53.0,51.0,11.0,0.0,0.0
20000064003,2013,,887.0,203.0,66.0,887.0,51.0,371.0,0.0,179.0,0.0,115.0,171.0,40.0,386.0,17.0,161.0,0.0,0.0,0.0
20000064004,2013,,681.0,184.0,53.0,681.0,135.0,421.0,0.0,0.0,0.0,118.0,7.0,56.0,223.0,13.0,70.0,0.0,0.0,0.0
20000065001,2013,,1271.0,313.0,105.0,1271.0,373.0,125.0,0.0,6.0,0.0,758.0,9.0,286.0,372.0,6.0,55.0,0.0,0.0,0.0
20000065002,2013,,3374.0,1149.0,537.0,3374.0,397.0,1727.0,0.0,56.0,0.0,1165.0,29.0,642.0,908.0,137.0,143.0,0.0,0.0,0.0
20000065003,2013,,745.0,240.0,79.0,745.0,99.0,172.0,0.0,14.0,0.0,460.0,0.0,146.0,201.0,0.0,68.0,0.0,0.0,0.0
20000065004,2013,,344.0,139.0,54.0,344.0,58.0,98.0,0.0,10.0,0.0,178.0,0.0,48.0,152.0,0.0,11.0,9.0,0.0,10.0
20000067001,2013,459200.0,1361.0,397.0,111.0,1361.0,275.0,225.0,0.0,0.0,0.0,793.0,68.0,368.0,463.0,0.0,0.0,0.0,0.0,0.0
20000067002,2013,,1253.0,300.0,229.0,1253.0,30.0,304.0,0.0,0.0,0.0,901.0,18.0,357.0,209.0,0.0,65.0,0.0,0.0,0.0
20000067003,2013,,1348.0,600.0,397.0,1348.0,61.0,769.0,0.0,19.0,0.0,434.0,65.0,584.0,202.0,42.0,19.0,0.0,0.0,0.0
20000067004,2013,,1951.0,471.0,255.0,1951.0,297.0,899.0,169.0,0.0,0.0,526.0,60.0,230.0,392.0,0.0,63.0,16.0,0.0,0.0
20000067005,2013,,821.0,289.0,91.0,821.0,204.0,468.0,0.0,0.0,0.0,149.0,0.0,285.0,257.0,55.0,19.0,14.0,0.0,0.0
20000067006,2013,,1078.0,276.0,67.0,1078.0,513.0,126.0,4.0,0.0,0.0,435.0,0.0,348.0,324.0,0.0,14.0,0.0,0.0,0.0
20000068001,2013,417600.0,1726.0,489.0,115.0,1726.0,145.0,687.0,0.0,15.0,0.0,686.0,193.0,389.0,457.0,146.0,57.0,8.0,0.0,0.0
20000068002,2013,,416.0,132.0,47.0,416.0,10.0,190.0,0.0,0.0,0.0,98.0,118.0,40.0,173.0,9.0,46.0,0.0,0.0,0.0
20000068003,2013,439300.0,842.0,358.0,112.0,842.0,120.0,432.0,0.0,81.0,0.0,191.0,18.0,122.0,406.0,37.0,53.0,17.0,0.0,0.0
20000069001,2013,,2773.0,948.0,423.0,2773.0,579.0,1165.0,46.0,8.0,0.0,775.0,200.0,584.0,678.0,76.0,266.0,71.0,0.0,0.0
20000069002,2013,420000.0,1727.0,620.0,257.0,1727.0,148.0,729.0,17.0,0.0,0.0,787.0,46.0,403.0,404.0,67.0,17.0,14.0,0.0,0.0
20000069003,2013,,1283.0,499.0,281.0,1283.0,312.0,662.0,0.0,0.0,0.0,293.0,16.0,411.0,132.0,42.0,43.0,0.0,0.0,0.0
20000069004,2013,,1581.0,541.0,298.0,1581.0,56.0,710.0,0.0,110.0,0.0,705.0,0.0,392.0,398.0,17.0,34.0,0.0,0.0,0.0
20000070001,2013,431700.0,2757.0,772.0,180.0,2757.0,444.0,1001.0,95.0,124.0,0.0,1020.0,73.0,539.0,775.0,67.0,148.0,23.0,3.0,0.0
20000070002,2013,,895.0,213.0,103.0,895.0,270.0,275.0,0.0,0.0,0.0,228.0,122.0,203.0,157.0,23.0,61.0,0.0,0.0,0.0
20000070003,2013,428500.0,1142.0,313.0,125.0,1142.0,59.0,151.0,0.0,155.0,0.0,777.0,0.0,315.0,280.0,8.0,73.0,10.0,0.0,0.0
20000071001,2013,224100.0,951.0,281.0,29.0,951.0,221.0,390.0,0.0,6.0,0.0,319.0,15.0,171.0,344.0,34.0,101.0,42.0,0.0,0.0
20000071002,2013,286400.0,1365.0,395.0,133.0,1365.0,165.0,699.0,16.0,0.0,0.0,440.0,45.0,222.0,319.0,23.0,87.0,9.0,0.0,0.0
20000072001,2013,383300.0,2044.0,567.0,110.0,2044.0,331.0,366.0,0.0,438.0,0.0,622.0,287.0,456.0,469.0,20.0,191.0,82.0,13.0,0.0
20000072002,2013,404500.0,2318.0,613.0,206.0,2318.0,300.0,488.0,0.0,795.0,0.0,714.0,21.0,484.0,487.0,49.0,136.0,110.0,9.0,0.0
20000072003,2013,146200.0,771.0,352.0,117.0,771.0,311.0,234.0,0.0,12.0,0.0,183.0,31.0,138.0,218.0,86.0,52.0,0.0,25.0,0.0
20000072004,2013,487100.0,852.0,243.0,86.0,852.0,166.0,53.0,0.0,10.0,0.0,414.0,209.0,149.0,197.0,13.0,63.0,32.0,0.0,0.0
20000073001,2013,,1065.0,387.0,87.0,1065.0,239.0,239.0,4.0,0.0,0.0,556.0,27.0,357.0,303.0,9.0,59.0,0.0,0.0,0.0
20000073002,2013,,970.0,391.0,155.0,970.0,380.0,188.0,0.0,0.0,0.0,376.0,26.0,304.0,150.0,29.0,27.0,0.0,0.0,0.0
20000073003,2013,,1561.0,492.0,220.0,1561.0,119.0,838.0,0.0,0.0,0.0,598.0,6.0,291.0,356.0,137.0,27.0,0.0,0.0,0.0
20000074001,2013,444200.0,1548.0,525.0,71.0,1548.0,400.0,405.0,0.0,40.0,0.0,640.0,63.0,182.0,426.0,213.0,135.0,57.0,0.0,0.0
20000074002,2013,378100.0,1109.0,276.0,96.0,1109.0,195.0,178.0,0.0,0.0,0.0,736.0,0.0,153.0,354.0,12.0,101.0,2.0,0.0,0.0
20000074003,2013,90700.0,1206.0,617.0,103.0,1206.0,257.0,785.0,0.0,0.0,0.0,141.0,23.0,199.0,479.0,72.0,147.0,48.0,0.0,12.0
20000075001,2013,303400.0,1325.0,457.0,131.0,1325.0,118.0,352.0,0.0,0.0,0.0,834.0,21.0,252.0,304.0,49.0,52.0,72.0,21.0,0.0
20000075002,2013,240700.0,1677.0,553.0,107.0,1677.0,216.0,691.0,0.0,0.0,0.0,738.0,32.0,321.0,409.0,25.0,117.0,47.0,0.0,0.0
20000075003,2013,,1093.0,522.0,228.0,1093.0,211.0,365.0,0.0,13.0,0.0,415.0,89.0,285.0,286.0,7.0,52.0,0.0,0.0,0.0
20000075004,2013,,571.0,224.0,84.0,571.0,182.0,237.0,0.0,0.0,0.0,99.0,53.0,125.0,195.0,7.0,33.0,0.0,0.0,0.0
20000076001,2013,,743.0,220.0,29.0,743.0,82.0,480.0,0.0,0.0,0.0,92.0,89.0,173.0,205.0,48.0,81.0,0.0,0.0,0.0
20000076002,2013,512700.0,1248.0,427.0,132.0,1248.0,128.0,520.0,73.0,42.0,0.0,334.0,151.0,426.0,237.0,53.0,75.0,85.0,0.0,0.0
20000076003,2013,533100.0,886.0,212.0,97.0,886.0,178.0,325.0,0.0,0.0,0.0,236.0,147.0,155.0,275.0,107.0,19.0,53.0,0.0,0.0
20000076004,2013,528800.0,1434.0,415.0,184.0,1434.0,551.0,80.0,0.0,60.0,0.0,650.0,93.0,279.0,377.0,9.0,77.0,15.0,0.0,9.0
20000076005,2013,436200.0,1371.0,297.0,113.0,1371.0,21.0,538.0,0.0,124.0,0.0,688.0,0.0,250.0,343.0,64.0,84.0,20.0,0.0,0.0
20000077001,2013,431000.0,1866.0,594.0,209.0,1866.0,356.0,427.0,14.0,0.0,0.0,1038.0,31.0,381.0,421.0,91.0,118.0,47.0,0.0,0.0
20000078001,2013,355000.0,1701.0,449.0,106.0,1701.0,341.0,280.0,0.0,314.0,0.0,727.0,39.0,462.0,404.0,14.0,221.0,16.0,0.0,0.0
20000078002,2013,415500.0,2579.0,847.0,293.0,2579.0,757.0,415.0,0.0,416.0,0.0,824.0,167.0,420.0,694.0,163.0,168.0,0.0,0.0,0.0
20000078003,2013,,1606.0,359.0,120.0,1606.0,128.0,201.0,0.0,0.0,0.0,1238.0,39.0,635.0,290.0,24.0,0.0,0.0,0.0,0.0
20000078004,2013,,907.0,366.0,166.0,907.0,76.0,226.0,0.0,13.0,0.0,275.0,317.0,95.0,288.0,15.0,74.0,19.0,0.0,0.0
20000079001,2013,,1769.0,574.0,368.0,1769.0,266.0,393.0,0.0,0.0,0.0,1063.0,47.0,531.0,247.0,14.0,0.0,28.0,0.0,0.0
20000079002,2013,,635.0,283.0,13.0,635.0,309.0,56.0,0.0,0.0,0.0,268.0,2.0,286.0,172.0,27.0,5.0,0.0,0.0,0.0
20000079003,2013,,854.0,288.0,117.0,854.0,96.0,311.0,0.0,0.0,0.0,447.0,0.0,296.0,180.0,18.0,26.0,0.0,0.0,0.0
20000079004,2013,406700.0,1132.0,452.0,152.0,1132.0,375.0,182.0,0.0,0.0,0.0,487.0,88.0,291.0,232.0,49.0,59.0,0.0,0.0,0.0
20000079005,2013,,496.0,230.0,78.0,496.0,185.0,160.0,0.0,0.0,0.0,151.0,0.0,70.0,87.0,43.0,36.0,0.0,0.0,0.0
20000079006,2013,,1242.0,408.0,182.0,1242.0,289.0,819.0,0.0,0.0,0.0,122.0,12.0,244.0,372.0,11.0,71.0,0.0,0.0,0.0
20000083001,2013,,788.0,280.0,134.0,788.0,84.0,189.0,0.0,0.0,0.0,509.0,6.0,245.0,115.0,0.0,33.0,0.0,0.0,0.0
20000083002,2013,,403.0,165.0,135.0,403.0,0.0,336.0,0.0,0.0,0.0,0.0,67.0,0.0,149.0,0.0,41.0,0.0,0.0,0.0
20000083003,2013,434200.0,1377.0,569.0,286.0,1377.0,155.0,591.0,10.0,0.0,0.0,551.0,70.0,466.0,318.0,27.0,12.0,12.0,20.0,0.0
20000083004,2013,388100.0,1424.0,415.0,164.0,1424.0,285.0,221.0,0.0,0.0,0.0,865.0,53.0,287.0,301.0,34.0,80.0,10.0,0.0,0.0
20000083005,2013,,1134.0,397.0,106.0,1134.0,239.0,484.0,0.0,0.0,26.0,320.0,65.0,253.0,350.0,58.0,22.0,0.0,0.0,0.0
20000083006,2013,,626.0,186.0,79.0,626.0,30.0,287.0,0.0,0.0,0.0,309.0,0.0,130.0,216.0,0.0,10.0,0.0,0.0,0.0
20000084001,2013,379100.0,866.0,254.0,35.0,866.0,111.0,512.0,0.0,31.0,0.0,194.0,18.0,127.0,290.0,7.0,102.0,4.0,0.0,0.0
20000084002,2013,464800.0,1575.0,403.0,73.0,1575.0,233.0,311.0,41.0,0.0,0.0,944.0,46.0,183.0,491.0,60.0,165.0,72.0,0.0,3.0
20000085001,2013,,661.0,235.0,139.0,661.0,292.0,145.0,0.0,0.0,0.0,224.0,0.0,227.0,115.0,11.0,21.0,0.0,0.0,0.0
20000085002,2013,211700.0,2254.0,567.0,161.0,2254.0,151.0,468.0,0.0,66.0,0.0,1529.0,40.0,584.0,493.0,35.0,119.0,44.0,0.0,9.0
20000085003,2013,396900.0,1032.0,272.0,60.0,1032.0,108.0,202.0,0.0,0.0,0.0,722.0,0.0,185.0,338.0,18.0,129.0,0.0,0.0,0.0
20000085004,2013,,735.0,338.0,191.0,735.0,146.0,71.0,0.0,0.0,23.0,462.0,33.0,183.0,243.0,0.0,43.0,0.0,0.0,8.0
20000085005,2013,,1264.0,288.0,116.0,1264.0,71.0,321.0,0.0,0.0,0.0,846.0,26.0,202.0,296.0,41.0,14.0,25.0,0.0,0.0
20000086001,2013,377800.0,987.0,383.0,85.0,987.0,260.0,85.0,0.0,75.0,0.0,560.0,7.0,245.0,358.0,45.0,94.0,0.0,0.0,0.0
20000086002,2013,,1426.0,564.0,255.0,1426.0,266.0,479.0,0.0,0.0,0.0,671.0,10.0,371.0,444.0,39.0,19.0,24.0,0.0,0.0
20000086003,2013,,1145.0,429.0,248.0,1145.0,410.0,293.0,0.0,11.0,0.0,305.0,126.0,354.0,223.0,67.0,40.0,8.0,0.0,0.0
20000087001,2013,,1429.0,468.0,118.0,1429.0,182.0,392.0,0.0,0.0,0.0,733.0,122.0,387.0,383.0,55.0,10.0,9.0,0.0,16.0
20000087002,2013,,1685.0,516.0,165.0,1685.0,219.0,446.0,0.0,0.0,0.0,980.0,40.0,487.0,560.0,62.0,65.0,8.0,0.0,0.0
20000087003,2013,,834.0,268.0,88.0,834.0,128.0,285.0,0.0,0.0,0.0,421.0,0.0,237.0,165.0,72.0,19.0,0.0,0.0,0.0
20000087004,2013,,931.0,263.0,122.0,931.0,232.0,174.0,0.0,0.0,0.0,525.0,0.0,169.0,243.0,10.0,42.0,17.0,0.0,0.0
